,Language Example,Language index
1881,"Umzi wathi qwenge kubini, omnye wakubhebhetha kwaphela ukuxhela iinkomo zawo. Nangona wawukholwa kwi",xho
1882,"Si cumponede de duas partes, Antigu Testamentu e su Nou Testamentu. S'Antigu cumprendet 46 liberos o",srd
1883,Ùnicu giogadore a àere signadu pro duos furriadas in ses cumpetitziones ufitziales in su matessi ann,srd
1884,"Kwi-chemistry, i-metal ligama eliquka iqela amalungu eekhemikhali aneepmpawu ezithile. Kulula ukuba ",xho
1885,Harrison siste fjernsynsopptreden var ikke tiltenkt å være det. Faktisk var han ikke selv hovedattra,nob
1886,อักษรนำ คล้ายคลึงกับคำควบกล้ำ แต่คำควบกล้ำแท้จะประสานเสียงที่ออกสนิทกว่าอักษรนำ ในขณะที่คำควบกล้ำไม่,tha
1887,Kufuneka wonke ubani atyelele igadi ebizwa iCompany Gardens ebudala bungama-350 eminyaka ekumbindi w,xho
1888,I-astrolabe yokuqala yeenziwa kwilizwe le-Hellenistic ngo-150 BC. Isoloko isayanyaniswa ne-Hipparchu,xho
1889,"غتنی (/ˈɔːθniəl/ یا /ˈɒθniəl/; عبرانی: עָתְנִיאֵל בֶּן קְנַז, جدید Otniel Ben Knaz طبری ʻOṯnîʼēl Ben",pnb
1890,ในประเทศไทยเมื่อสิบกว่าปีก่อนคำว่าโลจิสติกส์อาจจะนับว่าเป็นคำใหม่ แต่ที่จริงแล้วคนในวงการทหารรู้จักค,tha
1891,"Энциклопедия функцияланы толтургъандан сора да, Википедия арт джангылыкъла чыкъгъан джерча КИА-ны ба",krc
1892,مکینیکل سٹورینج اک گٹھجوڑ، جاں گنا ہارویسٹر ورتدا اے۔ آسٹوفٹ 7000 دی لڑی، اصلی جدید ہارویٹر ڈزائین، ,pnb
1893,"Frank Lincoln Wright (Richland Center, Wisconsin 8 June, 1867 – 9 April, 1959), prus conotta comente",srd
1894,"Dåhjort er mindre enn norsk hjort, men betydelig større enn rådyret. Hannen kalles dåbukk og hunnen ",nob
1895,Косово Республика — Сербияны конституциясына кёре Косова эм Метохия атлы автоном крайды. БМО-ну Къор,krc
1896,The sidebar lock operates using fins on a radial key that actuate sidebars that align with a cylindr,eng
1897,"Ferdinand Verbiest (Pitten, Belgiu 9 se santuaine 1623- Pechino, 28 de bennalzu 1688). Gesuita, miss",srd
1898,if we see it as a process of social self-institution where there is no divinely or 'objectively' def,eng
1899,Willow vekker Buffy opp fra de døde med hjelp fra de andre vennene. Buffy har egentlig vært i Himmel,nob
1900,"Venstres leder er Trine Skei Grande fra Oslo, opprinnelig fra Overhalla i Nord-Trøndelag. Ola Elvest",nob
1901,India har 28 steder som står på UNESCOs liste over Verdensarven. De to første oppføringene var Agra ,nob
1902,Uma Ana Iku (iha lia-portugés: Uma Ana Ico) suku ida iha Timór Lorosa'e nian. Suku ne'e iha postu ad,tet
1903,นอกจากนั้น กรุง ศรีวิไล ยังมีโอกาสได้เล่นกับดาราต่างประเทศอย่างเช่นเรื่องทองที่แสดงร่วมกับเกริก มอริ,tha
1904,"मोहम्मद अली (जन्म क्यासियस मार्सेलस क्ले , जूनियर; जनवरी १७, १९४२ - जून ३, २०१६) पूर्व अमेरिकी पेशेव",mai
1905,"Den siste av Eckhoffene som bodde i Sanden, var Astrid. Hun døde i 1983. Eiendommen står i dag slik ",nob
1906,"Giai de sa bessida de s'album de inghitzu, Is This It in su 2001, is Strokes ant tentu luegus unu gr",srd
1907,"helheter (alle menneskelige samfunn, dyrearter, økosystemer: holistisk etikk).For å illustrere hvord",nob
1908,På 500-tallet ble Torino et langobardisk hertugdømme. I 773 ble det erobret av Karl den stores tropp,nob
1909,"Husi deskrisaun sira ne’ebé kapás liu hotu kona-ba loron-25 fulan-Abríl, ida maka ida-ne’ebé ita bel",tet
1910,"Kjell Arne Bøe (født 4. mai 1952 i Måndalen, Møre og Romsdal) er en norsk styrkeløfter, som konkurre",nob
1911,"Сяргей Запрудзкі, Алена Анісім, Уладзімер Кошчанка, Сяргей Кручкоў, Адам Мальдзіс, Алесь Таболіч, Ге",be-tarask
1912,Паводле ўмоваў Вэрсальскай мірнай дамовы пацярпелай паразу ў Першай сусьветнай вайне Нямеччыне было ,be-tarask
1913,Британияны премьер-министри Чемберлен бла Гитлерни арасында 1938 джылны 30-чу сентябрында Уллу Брита,krc
1914,حرم عباس بن علی دارای یک صحن چهارگوش است که حرم در وسط آن واقع شده و در چهار طرف صحن حجراتی بنا گشته,pnb
1915,हुमा कुरैसी (English: Huma Qureshi उच्चारण [ɦuːmaː qureʃiː]); जन्म २८ जुलाई १९८६ नयाँ दिल्ली) एक भार,mai
1916,Det politiske debatten i Skottland tenderer å bevege seg rundt konstitusjonelle spørsmål. Under pres,nob
1917,Hennes familie må ha vært en del av en intern maktkamp da hennes ektemann ble myrdet en gang rundt 5,nob
1918,«Россияныкъын сатыб алма» (укр. «Не купуй російське!») неда «Россияныкъын бойкот эт» (укр. «Бойкотуй,krc
1919,"Lione (in frantzesu Lyon) est sa terza tzitade frantzesa. Est situada in su sud-est de sa Frantza, i",srd
1920,دیگری در ضلع غربی، در جوار باب‌السوق بوده و در نزدیک آن دو درخت خرما وجود داشته است. البته امروزه از,pnb
1921,The boys' lacrosse team won the overall state championship in 1979 (defeating Montclair High School ,eng
1922,พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว ทรงแปลชื่อเรื่องว่า นิทราชาคริต มีความหมายว่า การหลับและการตื่,tha
1923,Impumelelo eye yakhula nemveliso entsha itsale umdla weshishini laseJapan iKansai Paint Co. Ltd (“Ka,xho
1924,निहारिका सिंह (जन्म३१ अगस्त १९८२) एक भारतीय फिल्म अभिनेत्री आ फेमिना मिस इण्डिया पृथ्वी २००५क विजेता,mai
1925,"«Беларуская граматыка для школ» (1918) — школьная граматыка беларускай мовы, апрацаваная Браніславам",be-tarask
1926,Husi tempu ne’ebá to’o agora ne’e daudaun capoeira liu tiha ona dalan naruk ida. Agora ema barak tre,tet
1927,"Amakomkhulu angakwiidolophu ebezisoloko zikhona kakade kuloo ndawo njengeLondon, iUnited Kingdom (ku",xho
1928,"सरगुन मेहता (pronounced [sərɡʊn meːɦt̪aː]; जन्म ६ सेप्टेम्बर १९८८), सरगुन मेहता दुबेक नामसँ समेत चिन",mai
1929,"elinye igama legraf yitshathi okanye idiagram. kodwa ke ngoku, itshathi okanye idiagram isenokungayi",xho
1930,"Katalin Szőke (født 17. august 1935 i Budapest, død 27. oktober 2017) var en ungarsk svømmer som und",nob
1931,"Lendlu inamakriwa ne ndawo yokudlala imidlalo yeTennis (Tennis Court), kodwa zombini zaquba kwi mpil",xho
1932,"Ngowe-1984, Atletico wagqiba ekubeni kude webhola ohlawulwayo, ukuze loo nto ibenza abalandeli zabo ",xho
1933,Uphindaphindo luhlobo lokubala ukuze kufunyanwe isiphumo iproduct esivela kuphindaphindo kwenani nge,xho
1934,"Sa Iscièntzia Polìtica est'un'iscièntzia sotziale chi studiat sa teoria e sa pràtica de sa polìtica,",srd
1935,"दयालक माता-पिता कोल्लम जिला, केरलसँ अछि। उनकर जन्म अबू धाबी, संयुक्त अरब अमीरातमे भेल आ ओ अबू धाबी भ",mai
1936,नेपालमे कृष्णसार बर्दिया जिलाक गुलरिया नगरपालिका वडा नं. २ खैरापुरमे मात्र किछ सङ्ख्यामे पावल जाएत अ,mai
1937,"Świna betraktes også som en elv, noe den utvilsomt var i tidligere tider før havnivået innenfor og u",nob
1938,"कृष्ण जन्माष्टमीके सातम आठम, गोकुलष्टमी, अष्टमी रोहिनी, श्रीकृष्ण जयन्ती, श्री जयन्ती वा साधारण भाषा",mai
1939,เริ่มจากตัวเลขในส่วนที่ 2 หลักสุดท้าย (ขวามือ) คูณด้วย 1 เลขหลักถัดไปทางซ้ายคูณด้วย 2 เลขหลักถัดไปอี,tha
1940,"IJografi zizifundo ngeHlabathi nangeempawu zalo, izidalwa ezihlala kulo, kunye nokwenzeka kwalo. Iga",xho
1941,ถ้าเป็นตัวสะกด ให้ถือตัวหน้าเป็นตัวสะกดแต่ตัวเดียว แต่พร้อมกันนั้น ก็ทำหน้าที่เป็นตัวนำด้วย เช่น พิศ,tha
1942,सन् २००२ मे अपन करियरक आधा बाटमे विज्डन क्रिकेटर्स अल्मानाक हुनका टेस्ट क्रिकेटक सबसँ महान ब्याट्सम्,mai
1943,آذربائیجان قفقاز دا اک مسلمان دیس اے جہڑا سویت یونین دے خاتمے مگروں دنیا دے نقشے اتے ابھریا ۔ آذربائ,pnb
1944,"Iha fulan-Jullu, Konsórsiu Timor Telecom manán konkursu (BOT - Build, Operate, Transfer) ba kriasaun",tet
1945,विनयी त्रिवेणी गाउँपालिका नवलपरासी जिलामे अवस्थित अछि । वि.सं २०७३ सालमे सङ्घीय मामिला तथा स्थानीय व,mai
1946,Alukho ugonyo oluchaseneyo nesi sifo. Uthintelo lungokubaleka ukubethwa ziimpukane. Oku kungaquka uk,xho
1947,"Перапіс 2011 году па Паўночнай Ірляндыі засьведчыў наяўнасьць 16 373 чалавекі (або 0,9% ад насельніц",be-tarask
1948,"Француз тил (le français, la langue française) — французланы тиллери (Францияны официал тили), Бельг",krc
1949,ชิระโตะริ เป็นเพื่อนที่เรียนจบจากโรงเรียนสอนนักพากย์ นิฮงนาร์เรชัน รุ่นเดียวกับ เท็ตสึยะ อิวานางะ ท้,tha
1950,ปรากฏตัวครั้งแรกในตอน คดีฆาตกรรมรถด่วนมายากล (รถด่วนมรณะ) ทาคาโต้ได้ฆ่าคนในคณะมายากลเพื่อล้างแค้นให้,tha
1951,"During the 19th century, the town was in the county of Lagny, with a population from 500 to 550 inha",eng
1952,เกิดวันที่ 24 พฤศจิกายน (ภาคอะนิเมะ คดีฆาตกรรมบนจอภาพสีเงิน)เพื่อนในวัยเด็กของคินดะอิจิ นิสัยร่าเริง,tha
1953,Adobe preimer pro hanesan programa video editing iha parte profrsional.liu liu ba sira ne’ebe gosta ,tet
1954,"Sa diferèntzia culturale la torrat a defensare in su 2001, in ocasione de su de 21 Beranos Bèrberos,",srd
1955,گانواں اک وڈے چار پیرانوالے، کھروالے، ددپلانے نیں۔ کئی نسلاں دے سنگ ہوندے نیں پر انسان نے اوہناں نسل,pnb
1956,พระนมปริกเกิดที่บ้านริมแม่น้ำเจ้าพระยาฝั่งตะวันตก ของตระกูลกัลยาณมิตร ใกล้วัดอรุณราชวรารามกับกุฏีเจ้,tha
1957,"På 13- og 1400-tallet vokste hovedstaden Tallinn (tysk: Reval) sterkt, og den ble en hansaby i Hansa",nob
1958,"Алай а Ленинградны кючлер нюзюрде, 9-чу сентябрда джангы алгъа уруу джетишим бла бошалмайды. Аны юсю",krc
1959,1. divisjon i Montenegro (serbisk: Prva crnogorska fudbalska liga) er toppdivisjonen i fotball i Mon,nob
1960,Базылі́ка Манліжо́нскай Бо́жай Ма́ці (па-француску: basilique Notre-Dame de Montligeon) — нэагатычны,be-tarask
1961,"Laklubar (port.: Laclubar) postu administrativu ida iha munisípiu Manatutu (Timór Lorosa'e), iha suk",tet
1962,Sa Còssiga est un'insula de su Mare Mesuderraniu et est una regione chi appartenit a sa Frantza. S'a,srd
1963,Бусагъатдагъы Лос-Анджелес болгъан джерде XVI ёмюрде тонгва бла чумаш индейлиле джашагъандыла. Бусаг,krc
1964,"During her stint on the Thunderbolts team, her powers have grown. She is now fast enough to match th",eng
1965,พรรคประชาธิปไตยโดยตรงหลักพรรคแรกที่ลงทะเบียนกับคณะกรรมการเลือกตั้งก็คือ พรรค People's Administration,tha
1966,"During the late 1960s and early 1970s, Coburn cultivated an image synonymous with ""cool"", and along ",eng
1967,"In die de oe, de una bisura geogràficu-antròpica su Polèsine currespondet a sa provìntzia de Rovigo.",srd
1968,Пружанский А. М. Отечественные певцы 1750—1917. Словарь.. М.: «Композитор» (2000). Ал къайнакъдан ар,krc
1969,"Alba Lucía Riquelme Valenzuela (born February 5, 1991 in Asunción, Paraguay) is a Paraguayan model a",eng
1970,"Kwiinkqubo ezithile zakwa-biology, i-endogeneity ibhekisa kwezo zidalwa zifumana i-DNA (kwii-prokary",xho
1971,"Sos cecos sunt unu de sos pòpulos prus pagu religiosos de su mundu, cun unu perchentu de 37% de àteo",srd
1972,Isivumelwano somanyano senziwa emva kokuba iJamani iphumelele kwiMfazwe eyayiphakathi kwe-Fransi ne-,xho
1973,"Husi kedas sékulu XIX, jezuíta sira iha Soibada tradús tiha parte balu husi Bíblia ba tetun. Iha tin",tet
1974,"Пасланьне падзелена на 5 разьдзелаў. Яго цяжка пераказаць, у ім думкі аўтара выкладваюцца не пасьляд",be-tarask
1975,"विष्णु वर्धन इन्दुरी, हैदराबादसँ सिरियल उद्यमी सीसीएलक संस्थापक आ प्रबन्ध निर्देशक छी जे २०१० मे सीस",mai
1976,"ช่อชัยพฤกษ์ที่ล้อมวงรีไว้ มีความหมายว่า ""เป็นเลิศในด้านความรู้ ความสามารถ บุคลิกภาพดี มีความสมบูรณ์ท",tha
1977,Адразу пасьля заканчэньня вытворчасьці першай сэрыі «Круп» прыступіла да вытворчасьці палепшанай — 2,be-tarask
1978,5 مارچ عیسوی کیلنڈر چ سال دا 64th دن اے (64th لیپ دے سالاں چ)۔5 مارچ گریگری کلنڈر دے مطابق ایہہ سال ,pnb
1979,"बुलन्द दरवाजा (अङ्ग्रेजी: Buland Darwaza, उर्दू: بُلند دروازه‎‎‎,), मुगल सम्राट अकबरद्वारा गुजरात उप",mai
1980,Etter Gottwalds død i 1953 fortsatte det kommunistiske diktaturet. På begynnelsen av 1960-tallet had,nob
1981,"Cumintzat sa carrera sua fubalenca cun s’echipa de sa bidda sua; posteriormente, in s’istajone 1.966",srd
1982,"Det ligger flere konsertsteder i nærheten, og flere kjente band har tilknytning til markedet. Medlem",nob
1983,Долларла аллынданда бери кючлю джакъланнгандыла. Доллар басаргъа къагъытны къуру бир компания чыгъар,krc
1984,"Santo Hermano Pedro de San José Betancur, (Vilaflor, Tenerife, 21 Martzu 1626 - La Antigua Guatemala",srd
1985,Расейскае войска ўжывала Т-62 падчас вайны ў Паўднёвай Асеціі 2008 году. Па дадзеных незалежных расе,be-tarask
1986,"डाक्टर जाकिर हुसैन (८ फरवरी, १८९७ - ३ मई, १९६९) भारतक तेसर राष्ट्रपति छल जकर कार्यकाल १३ मई १९६७ सँ ",mai
1987,"Sa custumàntzia de su zogu dimandat chi unu partezipadore si nche zugat a sa pitzarra, leet unu ghis",srd
1988,Isebe lezemfundo kwinqanaba lesikolo laawonga amantombazana amane njengabona bafundi abaphuma phambi,xho
1989,آڈی مرفی دوجی وڈی لڑائی چ امریکہ دا سب توں بؤتے تمغے جتن والا سپائی سی۔ اونے فوج توں مغروں 44 امریکی,pnb
1990,अल कमीशली - नवा - अर-रास्तान - मयसफ़ - सफ़िता - जाब्लेह - अथ-थवारा - दुमा - बनियास - अन-नब्क- कुसैर ,mai
1991,"Den nye modellen kommer i fem ytstyrsvarianter; Lifestyle, Elegance, Executive, Executive Navi og Ex",nob
1992,"Su genotzìdiu armenu (in armenu: Հայոց Ցեղասպանություն, trasliteradu: Hayots Tseghaspanoutyoun; in t",srd
1993,Liaruka (iha lia-portugés: Liaruca) suku ida iha Timór Lorosa'e nian. Suku ne'e iha postu administra,tet
1994,Уллу Кавказны шимал этеклеринден Гум-Маныч чунгургъа дери Кавказ Аллы (кенг тюзлери бла эм сыртлыкъл,krc
1995,Чувашлыла (чуваш. чăваш) — тюрк тилли миллетледен биридиле. Кёбюсюне Россияда Итил сууну тийресинде ,krc
1996,ดร.กิตติพงษ์ กิตยารักษ์ เกิดเมื่อวันที่ 13 กันยายน 2501 เป็นบุตร นาย สุจินต์ กิตยารักษ์ อดีตผู้ตรวจร,tha
1997,"Iha faze Administrasaun Tranzitoria Nasoens Unidas nian no hafoin Restaurasaun Independensia, Isabel",tet
1998,میکس پلانک سوسائیٹی (جرمن:Max-Planck-Gesellschaft zur Förderung der Wissenschaften Eingetragener Ver,pnb
1999,"Ліхень Стары (па-польску: Licheń Stary, да 31 сьнежня 2011 — Стары Ліхень) — вёска ў гміне Сьлесін К",be-tarask
2000,द न्यु समिट कलेज नेपालक काठमाडौं जिलाक काठमाडौंमे अवस्थित एक कलेज छी । ई त्रिभुवन विश्वविद्यालयसँ सम,mai
2001,کئینزلینڈ دی ہن بریٹیش کلونی، جو ہن آسٹریلیا دا راج اے، 1863 اتے 1900 دے وچکار گنا پلانٹا اُتے کم کر,pnb
2002,Ii-equations zingahlulwa-hlulwa ngokweendlela ezisebenza ngazo nobungakanani bazo ngokwenani nabo bu,xho
2003,"Comente resurtat in sa Premissa de su libreddu ""Sa norma istandard unificada deliberada dae sa cumis",srd
2004,"Rui Araújo simu nomeasaun nu'udar Primeiru-Ministru Timor-Leste husi Prezidente Repúblika, Sua Exelé",tet
2005,Harrisons tidligere kone hadde forlatt ham til fordel for hans gamle venn Eric Clapton. Harrison skr,nob
2006,"Першая запісаная ў мурамскім музэі ад апальшчыка, селяніна в. Чарноўскае Вацкага павета Ніжагародзка",be-tarask
2007,"Eisemberg, C.C. Costa, B. G. Guterres, E.C. Reynolds, S.J. & Christian, K.: Assessment of Chelodina ",tet
2008,Sa Limba Sarda Unificada (LSU) est una proposta de norma iscrita pro sa limba sarda. Sas normas sunt,srd
2009,سلیمان بن عبدالملک (717 - 674) ‎7واں اموی خلیفہ سی۔ اونے ولید بن عبدالملک دے مرن مگروں دو سال تک 715,pnb
2010,"Singazenza ezinye iitafile zibenkulu, umzekelo, ngokuthi sitsale umphezulu wayo uphokele ngaphandle.",xho
2011,"In a playing career that spanned eighteen years, Sohail played in 195 first-class and 261 List A Lim",eng
2012,Lacoliu (iha lia-portugés: Lacoliu) suku ida iha Timór Lorosa'e nian. Suku ne'e iha postu administra,tet
2013,กู้ดริดจ์ได้เปิดตัวในการแข่งขันคิกบ็อกซิ่งเมื่อปีค.ศ. 1999 กับรายการเค-วัน รีเวนจ์ โดยพบกับมุซาชิ แล,tha
2014,The US Embassy in Dili states that in 2009 the F-FDTL comprised 719 qualified soldiers and a further,tet
2015,शिवानी सुर्वे एक भारतीय टेलिभिजन अभिनेत्री छी जे स्टार प्लस च्यानल शो देवयानी टिभी सिरिल मे देवयानी ,mai
2016,"Domo (Domo-kun) de'it nian mos mai husi barak nia Domo, Mr. Usaji, Usaji, Maya, Mario, Tashanna, Bea",tet
2017,"У 1830 року места было захопленае бэльгійскімі паўстанцамі, аднак галоўная цытадэль засталася пад ка",be-tarask
2018,"På stedet Ormen Lange er i drift, fantes det kvalstasjonen på øya. Den ble bygd i slettsanden, en bu",nob
2019,India har et flerpartisystem. Kongresspartiet som hadde ledet frigjøringskampen var lenge det domine,nob
2020,"Sa montagna pius alta est su monte Miletto, in su nord de sa regione. Un'àteru monte importante est ",srd
2021,Куриат комицияла — патрицийлени курияла бла джыйылыулары. Патчахлыкъ эпохада (VIII—VI ёмюрле б.э.д.),krc
2022,"Endowed with godly powers, Shree Hanuman was a military leader of the monkey army from Kiskinda, who",eng
2023,ปลากดเกราะ ถือเป็นปลาเศรษฐกิจที่สำคัญชนิดหนึ่งในทวีปอเมริกาใต้ นิยมบริโภคกันทั่วไป ในตรินิแดดและเฟรน,tha
2024,«Либерал» сёз лат. liber («эркин») деген сёзден къуралады. Тит Ливий «Шахарны къуралгъанындан башлаб,krc
2025,"Inye indlela yokwenza kubelula ukubona iziphumo, kukwenza uludwe lwazo, ukwenza uludwe lwazo zonke i",xho
2026,تریپورا یونیورسٹی اکّ مرکزی یونیورسٹی ہے، جو کہ بھارت دے صوبے تریپورا وچّ واقع ہے۔ تریپورا یونیورسٹی,pnb
2027,Бек кёб сёз европа тилледе (къуру ала бла къалмай) латин тилден чыкъгъандыла. Латин алфавит а уа бюг,krc
2028,"Sas bìtimas fiant istadas Italia Zambon (41 annos), Sergio Graneris (45 annos), Romolo Zambon (79 an",srd
2029,Analisis statistik banyak menggunakan probabilitas sebagai konsep dasarnya hal terlihat banyak digun,tet
2030,"The Medlycott Baronetcy, of Ven House in the County of Somerset, is a title in the Baronetage of the",eng
2031,Banafi (iha lia-portugés: Banafi) suku ida iha Timór Lorosa'e nian. Suku ne'e iha postu administrati,tet
2032,"ezinye iingxaki zenzelwa ukonwaba. Ezi ke zifana nee-puzzles. Ezinye zazo zingasonjululwa ngelogic, ",xho
2033,"У 1829—1830 гадох ува Ўзьдзе працавалі друкарня Э. Прэса, школа, 4 пачатковыя навучальныя ўстановы, ",be-tarask
2034,"प्रकाशित पोथी: नाटक: ओकरा आँगनक बारहमासा, जुआयल कंकनी, गाम नञि सुतय, काठक लोक, ओरिजनल काम, राजा सलहे",mai
2035,"Su Delitala in su 1572 fit postu a presone, chin tottu probabilidade pro disamistade, ma una cummiss",srd
2036,Foinsa’e sai hanesan jerasaun ne’ebé iha influensia bo’ot ba dezenvolvimentu no mudansa iha nasaun i,tet
2037,"Iha rain seluseluk iha Ásia mós iha lisan hanesan ne’e, kala tanba influénsia husi Xina. Iha Vietnam",tet
2038,Bare bukkene utvikler gevir. Geviret er viktig både for individenes sosiale status og som våpen i ka,nob
2039,"Старт гонак праводзіцца з месца. Дыстанцыя вар’іруецца паводле клясаў, то бок для Moto3 дыстанцыя ск",be-tarask
2040,"Ще не вмерла Україна (къарач.-малкъ. Энтда ёлмегенди Украина) деген джырны, Баш Рада мюкюл этген ред",krc
2041,"Glaser's work often focuses on contemporary culture, politics, and ideology, and ""exposes other peop",eng
2042,"تئیلے (鐵勒, Tiele), چلے (敕勒, Chile) یا گاؤچے (高車, Gaoche) اتلے چین تے وچکار ایشیا وچ چوتھی توں اٹھویں",pnb
2043,"«Минги тау» джырны, «Акътамакъ» деген лирикалы поэманы авторуду. Семен улу 1936 джыл Ереванда ётген ",krc
2044,สำหรับผู้ที่จะเพิ่มเติมรายชื่อสัตว์คลาน ขอให้เรียงลำดับตามตัวอักษร เพื่อให้ง่ายต่อการเพิ่มเติมรายชื่,tha
2045,I februar 1948 tok kommunistpartiet over makten i landet gjennom et statskupp støttet av Sovjetunion,nob
2046,सामन्था रूथ प्रभु (अङ्ग्रेजी: Samantha Ruth Prabhu) (जन्म:२८ अप्रैल १९८७) एक भारतीय अभिनेत्री तथा मो,mai
2047,"1. Bandeira nasionál nia forma maka retangulár no triángulu izóseles rua hosi hun hanesan, ne'ebé te",tet
2048,"1943 джылны июлунда немча аскер башчылыкъ ахыр кере кесине инициативаны, Курскны къатында сермешиуде",krc
2049,"سویٹزرلینڈ یورپ دے وشکار تے الپس دے اتر وچ 41,284 مربع کلومیٹر (15,940 مربع کلومیٹر) تھاں تے پھیلیا ",pnb
2050,"Est cussideradu dae sos reziradores s'ìdolu prus mannu de su Vasco, in ue aiat zogadu pro 21 de sos ",srd
2051,"Бютеулюк ич продукт (ингил. Gross Domestic Product), къысхартылыуу — БИП (ингил. GDP) — джылны ичинд",krc
2052,"He founded a museum in Managua in 1970 named ""Museo-Galeria 904"". The museum's collection encompasse",eng
2053,Gaius Sabucius Maior Caecilianus was a Roman senator who held a series of positions in the imperial ,eng
2054,"In the same period, Johnson won commissions to coordinate the master plan of Lincoln Center, New Yor",eng
2055,Ponta do Pico er en stratovulkan og det høyeste punktet på øya Pico i Asorene. Med en høyde på 2351 ,nob
2056,"Jon Amtrup (f.1968) er en seiler, journalist og forfatter fra Fredrikstad. Han har blant annet gitt ",nob
2057,Куля́ны — вёска ў Пружанскім раёне Берасьцейскай вобласьці. Уваходзіць у склад Ружанскага пасялковаг,be-tarask
2058,ในปี พ.ศ. 2549 ศ.ดร.ปราโมทย์ นาครทรรพ เป็นผู้อ้างในงานสัมมนาที่มหาวิทยาลัยธรรมศาสตร์ว่า พันตำรวจโท ท,tha
2059,"Къашхатау (орус. Кашхатау) — Къабарты-Малкъарны Черек районунуда орналгъан шахар типли посёлокду, Че",krc
2060,"Su radiuistimadore, o radiuamadore, est un'isperimentadore, sena finalidade de profetu, de sos apari",srd
2061,"Kwa-computing, isixhobo sesiphumo solwazi oisixhobo sesiphumo solwazi sisisixhobo esiyi-peripheral e",xho
2062,"Ареалны ичинде тюрлюню джашау шартларыны ушамагъанлыгъы себебли, бир ареалны ичиндеги тюрлюле гитче ",krc
2063,बारबर्दिया नेपालक बर्दिया जिलामे अवस्थित अछि । वि.सं. २०७३ सालमे सङ्घीय मामिला तथा स्थानीय विकास मन्,mai
2064,F-FDTL komesa asume responsabilidade ba seguransa rai Timor nian nebe UN peacekeeping force komesa h,tet
2065,"Lorenzo Rocci (1869 -1950), grecista, gesuita. Ada iscritu una grammatica grega chi at tentu 39 edit",srd
2066,"Achille Bonito Oliva (Caggiano Salerno, 4 sant'andrìa 1939) est unu criticu de s'arte e teoricu de s",srd
2067,Militár sira baruk funu iha Áfrika no sira hatene ona katak dalan atu remata funu la’ós militár maib,tet
2068,"UBilly Ocean (wazalwa enguLeslie Sebastian Charles; ngeyoMqungu ngomhla wama-21, ngo1950) ligcisa lo",xho
2069,"Schyrleus was a determined anticopernican. In the foreword of its book, which includes a dedication ",eng
2070,"Ukukhululeka yintetho esetyenziswa nelamkelwa njengegama elithehta inkululeko kuphela, ngokwale nkul",xho
2071,"An order for 18 production aircraft designated OJ-2 was placed in March 1932, and two more orders fo",eng
2072,"Google+ Circles ita bele utiliza hodi halo grupu tuir kategoria hanesan familia, kolega, belun, no m",tet
2073,Iindawo ezinje ngezi zithatha umhlaba ongangama-33% apha emhlabeni. Oko kuquka umhlaba omninzi waseA,xho
2074,Хурзæрин (Танг джарыкъ) — Къыбыла Тегейде тегей тилде чыкъгъан эм уллу эмда эм эски джамагъат-полити,krc
2075,Kwiintlango ezitshisayo ungabona imirage okanye ifata morgana. Imirage ke kukukhanya okuqhathayo. Ku,xho
2076,کھودے اتے کھوپڑی دے بچے خوراک دی مکھ ورتوں بوئلر لئی پردوشن دی عمل دی عمل وچ اک زریعہ وجوں اے۔ ڈرائٹ,pnb
2077,PzKpfw IV з новай гарматай першапачаткова пазначаліся як «пераабсталяваныя» (7.Serie/B.W.-Umbau або ,be-tarask
2078,"Ngenxa yeenzame zabo, esi sikolo satsho sakwazi ukubanezifundo zeJC; ezeNPH kunye nezeMatriki. Kwang",xho
2079,Parlamentu Nasionál iha membru/deputadu na'in 52 iha nia mínimu no iha nia máximu membru/deputadu na,tet
2080,"Iimpawu zalo zizinto ezifana namazwekazi, iilwandle, imilambo kunye neentaba. Abahlali balo ngabo bo",xho
2081,"Фарміраваньне скамянелага лесу на востраве Лесбас зьвязана з інтэнсіўнай вульканічнай актыўнасьцю, я",be-tarask
2082,พระอุบาลีเถระเดิมเป็นนายช่างภูษามาลาหลวงประจำราชสำนัก ออกบวชพร้อมกับเจ้าราชกุมารอีก 6 พระองค์ ณ อนุป,tha
2083,Carpenter and his crew persuaded the city to shut off the electricity to ten blocks at a time at nig,eng
2084,Po su Buddhismu de is Nikaya est su ciclu de vida a su cali funt custrintus is esseris chi tenint se,srd
2085,"As of 2000, there were 811 people who were single and never married in the municipality. There were ",eng
2086,"Iha tinan 2005, Linkin Park halo prioridade liu mak konsertu caridade. Sira ajuda vitima tsunami ful",tet
2087,ปูตินลาออกจากการเป็นเจ้าหน้าที่ด้านความมั่นคงขณะดำรงยศ พันโท ในวันที่ 20 สิงหาคม 1991 วันที่สองระหว่,tha
2088,"Ігнат Грынявіцкі (1856; цяпер вёска Калінаўка, Клічаўскі раён, Магілёўская вобласьць, Беларусь — 13 ",be-tarask
2089,แรกเริ่มเดิมที เซย์มารุ อามางิ นั้น ทำหน้าที่อยู่เบื้องหลัง คิดทริกและพล็อตให้ โดย โยซาบุโร่ คานาริ ,tha
